Timestamp(s),Temperature,Humidity
1750246235,25.0,15.0
1750246240,25.0,15.0
1750246246,25.0,15.0
1750246252,25.0,15.0
1750246257,25.0,15.0
1750246262,25.0,15.0
1750246268,25.0,15.0
1750246273,25.0,15.0
1750246279,25.0,15.0
1750246284,25.0,15.0
1750246290,25.0,15.0
1750246296,25.0,15.0
1750246301,25.0,15.0
1750246307,25.0,15.0
1750246312,25.0,15.0
1750246318,25.0,15.0
